"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID333" , -0.0347172223476742 , 0.018346151669155 , 0.0700809738988104 , 1.47276117593601 , -146.086978492811 , -145.043500231941 , 0.0150423828282341 , -0.353966004117326 , "" , -0.049674718960116 , 0.014827720825734 , 0.00244706541558607 , 1.47655892105819 , "1|1|1|1|1|1|1|1|1|1|0.53|0.55|1|0.6|1|0.99|0.92|1|1|1|1|1|1|1|1|0.28|1" , "" , -0.11214946031315 , 0.166390201258639 , 0.506742351850803 , 16.0061629305973 , 1.4556626900037 , -144.823414133446 , -143.005232315264 , 0.0151446152375756 , "" , -0.091811664527464 , -0.049674718960116 , 0.014827720825734 , 0.00244706541558607 , "robust linear"
"ID334" , 0.0360234702500118 , 0.0187958685221984 , 0.067275999293245 , 1.46355578744913 , -140.318429096963 , -139.227520006054 , 0.0151049447249129 , 0.364328666092951 , "" , 0.035355267534691 , 0.0192591181918764 , 0.074729194832624 , 1.46216407756829 , "1|1|1|1|1|1|1|1|1|0.48|0.93|0.87|1|1|0.63|1|1|1|1|1|1|0.63|1|1|0.93|1" , "" , 0.115783738834703 , 0.170011290589016 , 0.502648645707365 , 16.0825387329797 , 1.48118884581183 , -139.038131803852 , -137.13336989909 , 0.01521773502993 , "" , 0.0952661112282428 , 0.035355267534691 , 0.0192591181918764 , 0.074729194832624 , "robust linear"
"ID341" , -0.000684084673427161 , 0.012579518418068 , 0.957047465896143 , 1.22017259038607 , -172.475846277526 , -171.475846277526 , 0.010368807789046 , -0.0106643520586836 , "" , -0.000754211871227092 , 0.0130639141091956 , 0.954413626767706 , 1.2201831583823 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.99|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "number of iterations exceeded maximum of 100" , -0.001809100737268 , -0.000754211871227092 , 0.0130639141091956 , 0.954413626767706 , "robust linear"
"ID342" , 0.363108999715158 , 0.0303918120531281 , 2.41181255217248e-11 , 1.55459361915757 , -118.215827341709 , -117.072970198852 , 0.0210350691289135 , 0.928026183657682 , "" , 0.369734691811832 , 0.028945618989223 , 6.86108013401288e-12 , 1.55337301715671 , "0.62|1|1|1|1|1|1|1|1|1|0.56|1|1|0.92|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , 0.960262354369617 , 0.369734691811832 , 0.028945618989223 , 6.86108013401288e-12 , "robust linear"
"ID343" , -0.165635949475625 , 0.0277590776811838 , 5.26442320660083e-06 , 1.46634855815977 , -117.742379638909 , -116.542379638909 , 0.0191893644717938 , -0.786182081878281 , "" , -0.165762881412181 , 0.0288416483395102 , 8.67512272649006e-06 , 1.4664609321386 , "1|1|1|1|1|1|1|1|1|1|0.94|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , -0.347168232478522 , 0.17901862109486 , 0.0660196178054521 , 10.9107275243124 , 1.37683409005148 , -118.014975554438 , -115.909712396543 , 0.0187326960950081 , "" , -0.438033667401473 , -0.165762881412181 , 0.0288416483395102 , 8.67512272649006e-06 , "robust linear"
"ID344" , -0.149503356439356 , 0.0194824982606885 , 8.69665333005784e-08 , 1.49001218135377 , -135.533842552277 , -134.390985409419 , 0.0148772127876448 , -0.848010587467506 , "" , -0.148616151379858 , 0.0193728602201317 , 7.16760963490465e-08 , 1.48927606237124 , "1|1|1|1|1|1|0.66|1|1|1|0.76|1|1|1|1|0.7|1|1|1|1|1|1|1|1|1" , "" , -0.224697857237206 , 0.102160197031595 , 0.0386494812276488 , 5.34918563899489 , 1.36212364577165 , -134.284593650406 , -132.284593650406 , 0.0149848779889653 , "" , -0.395370109672947 , -0.148616151379858 , 0.0193728602201317 , 7.16760963490465e-08 , "robust linear"
"ID351" , 0.0627336318369082 , 0.0180426700856871 , 0.00187043520563554 , 1.44916886388643 , -148.030206429464 , -146.986728168594 , 0.0145106960508627 , 0.57092047124487 , "" , 0.0694197296056223 , 0.0150345450963918 , 0.000106985901096113 , 1.44645596445823 , "0.81|0.68|1|0.76|1|1|1|1|1|0.27|1|1|1|1|1|1|1|0.99|1|0.55|1|1|1|1|1|1|1" , "" , 0.105027371679498 , 0.103718807247349 , 0.321343984733731 , 6.77117766060213 , 1.49535884809718 , -146.246923283062 , -144.42874146488 , 0.0147505999769767 , "" , 0.165902649213108 , 0.0694197296056223 , 0.0150345450963918 , 0.000106985901096113 , "robust linear"
"ID352" , 0.00178812198884434 , 0.0169627318700632 , 0.916772491171675 , 1.50299193504233 , -168.899628262186 , -168.010739373297 , 0.0148976083532414 , 0.0195712766840791 , "" , 0.00154003773680313 , 0.0176350088758384 , 0.929398451761142 , 1.50173757375102 , "1|1|1|1|1|0.9|1|0.74|0.71|0.74|1|1|1|0.75|1|1|0.39|0.75|1|1|0.98|1|1|1|1|1|1|1|1|1|1" , "" , 0.0859088454430643 , 0.358023757274892 , 0.812114780850472 , 37.8213996348022 , 1.50467527376145 , -167.385877031221 , -165.84741549276 , 0.01504286247709 , "" , 0.00472879006649438 , 0.00154003773680313 , 0.0176350088758384 , 0.929398451761142 , "robust linear"
"ID353" , 0.241278359409516 , 0.0251416534079391 , 7.30972568635044e-10 , 1.49525448404172 , -128.410427100473 , -127.366948839603 , 0.0208679665662207 , 0.886850143269889 , "" , 0.241585074258034 , 0.0260473051654664 , 1.42187985079056e-09 , 1.49523617162426 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.95|1|1|1|1|1|1|1" , "" , 0.397946973316737 , 0.138282906548963 , 0.00828115167420363 , 6.31393779893285 , 1.68347811061368 , -128.436314286805 , -126.618132468623 , 0.0205140465873843 , "" , 0.638074312800759 , 0.241585074258034 , 0.0260473051654664 , 1.42187985079056e-09 , "robust linear"
"ID354" , -0.0300569557449896 , 0.0210463365917886 , 0.166692915627918 , 1.51232590932674 , -130.150094989073 , -129.007237846216 , 0.0165685389056997 , -0.285400752771838 , "" , -0.0324082899418434 , 0.0221567094459736 , 0.152199062905039 , 1.51247147687404 , "1|1|1|1|1|0.82|1|1|1|1|0.87|1|1|1|1|0.47|0.62|1|1|1|1|0.78|0.89|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -0.0794873250498016 , -0.0324082899418434 , 0.0221567094459736 , 0.152199062905039 , "robust linear"
